Control_ID,Control_Name,Tool_Implementing,Evidence_Type,Evidence_Artifact,Collection_Method,Collection_Frequency,Storage_Location,Retention_Period,Hash_Verification,Responsible_Party,Automation_Level,Notes
AC.L2-3.1.1,Limit system access to authorized users,Gitea + Cloud IAM,Access Logs,User account inventory (JSON),Gitea API export + gcloud IAM export,Daily,gs://compliance-evidence-store/access-control/ac-3.1.1/,1 year hot + 6 years archive,SHA-256,Security Operations,AUTOMATED,"Includes username, email, last_login, is_admin, MFA_enabled fields"
AC.L2-3.1.1,Limit system access to authorized users,Cloud Logging,Audit Logs,Authentication logs (JSON),Cloud Logging API export,Real-time ingestion + Daily export,gs://compliance-evidence-store/audit-logs/authentication/,3 years,SHA-256,Security Logging,AUTOMATED,Login success/failure events with source IP and timestamp
AC.L2-3.1.2,Limit transactions and functions,Gitea + Atlantis,Configuration,Branch protection settings (JSON),Gitea API export,Weekly,gs://compliance-evidence-store/access-control/ac-3.1.2/branch-protection/,7 years,SHA-256,DevOps Engineering,AUTOMATED,Documents required approvals and status checks
AC.L2-3.1.2,Limit transactions and functions,Atlantis,Audit Logs,Terraform plan/apply logs (JSON),Atlantis webhook to GCS,Real-time (per change),gs://compliance-evidence-store/access-control/ac-3.1.2/atlantis-logs/,7 years,SHA-256,Platform Engineering,AUTOMATED,Includes approver identity and timestamp
AC.L2-3.1.3,Control flow of CUI,Cloud KMS,Configuration,KMS key configuration (JSON),gcloud kms keys describe,Daily,gs://compliance-evidence-store/access-control/ac-3.1.3/kms-config/,7 years,SHA-256,Cloud Security,AUTOMATED,Key rotation schedule and encryption algorithm
AC.L2-3.1.3,Control flow of CUI,VPC Service Controls,Network Logs,VPC flow logs filtered for CUI resources,Cloud Logging export,Real-time,gs://compliance-evidence-store/access-control/ac-3.1.3/vpc-flows/,1 year,SHA-256,Network Engineering,AUTOMATED,Source/dest IPs and ports for CUI zone traffic
AC.L2-3.1.5,Least privilege,Cloud IAM,Configuration,IAM policy export (JSON),gcloud projects get-iam-policy,Weekly,gs://compliance-evidence-store/access-control/ac-3.1.5/iam-policies/,3 years,SHA-256,IAM Team,AUTOMATED,Custom roles and bindings with conditions
AC.L2-3.1.5,Least privilege,osquery,System State,Privilege escalation detection logs,osquery scheduled queries,Continuous (15 min interval),gs://compliance-evidence-store/access-control/ac-3.1.5/osquery/,90 days,SHA-256,Security Operations,AUTOMATED,Sudo usage and setuid binary execution
AC.L2-3.1.12,Monitor remote access,Cloud Logging,Audit Logs,SSH connection logs,Cloud Logging export,Real-time,gs://compliance-evidence-store/access-control/ac-3.1.12/ssh-logs/,1 year,SHA-256,Security Logging,AUTOMATED,Source IP and session duration
AC.L2-3.1.12,Monitor remote access,Prometheus + Grafana,Metrics,Active session count dashboard screenshot,Manual screenshot,Weekly,gs://compliance-evidence-store/access-control/ac-3.1.12/dashboards/,1 year,SHA-256,Security Operations,SEMI-AUTOMATED,Demonstrates real-time monitoring capability
