Flow_ID,Source,Destination,Protocol,Port,Authentication,Encryption,Data_Classification,Description,Trust_Boundary_Crossing,NIST_800-171_Controls,CMMC_Practices
F-1,A-1 (End Users),A-6 (Gitea),SSH,22,Public Key PKI,SSH Encryption,CUI,Git push operations for source code,Yes (Internet → DMZ → App),"3.1.12, 3.13.8","AC.L2-3.1.12, SC.L2-3.13.8"
F-2,A-1 (End Users),A-4 (Reverse Proxy),HTTPS,443,OAuth2,TLS 1.3,OOS,Web UI access via browser,Yes (Internet → DMZ),3.13.8,SC.L2-3.13.8
F-3,A-3 (External Registries),A-4 (Reverse Proxy),HTTPS,443,Anonymous/Token,TLS 1.3,External,Container image pull,Yes (Internet → DMZ),3.13.8,SC.L2-3.13.8
F-4,A-1 (End Users),A-5 (VPN Gateway),WireGuard,51820,Certificate + MFA,WireGuard Encryption,SPA,Admin VPN access,Yes (Internet → DMZ),"3.5.3, 3.13.8","IA.L2-3.5.3, SC.L2-3.13.8"
F-5,A-4 (Reverse Proxy),A-6 (Gitea),HTTP,3000,Session-based,Internal Network,CUI,Reverse proxy to Gitea web UI,No (DMZ → App),3.1.1,AC.L2-3.1.1
F-6,A-4 (Reverse Proxy),A-7 (n8n),HTTP,5678,API Key,Internal Network,SPA,Reverse proxy to n8n web UI,No (DMZ → App),3.1.1,AC.L2-3.1.1
F-7,A-4 (Reverse Proxy),A-8 (SonarQube),HTTP,9000,Token Auth,Internal Network,CUI,Reverse proxy to SonarQube UI,No (DMZ → App),3.1.1,AC.L2-3.1.1
F-8,A-4 (Reverse Proxy),A-10 (Grafana),HTTP,3001,Basic Auth,Internal Network,SPA,Reverse proxy to Grafana dashboards,No (DMZ → App),3.1.1,AC.L2-3.1.1
F-9,A-5 (VPN Gateway),A-6 (Gitea),SSH,22,Certificate Auth,SSH Encryption,CUI,Admin SSH access to Gitea,No (DMZ → App),"3.1.1, 3.5.3","AC.L2-3.1.1, IA.L2-3.5.3"
F-10,A-5 (VPN Gateway),A-7 (n8n),SSH,22,Certificate Auth,SSH Encryption,SPA,Admin SSH access to n8n,No (DMZ → App),"3.1.1, 3.5.3","AC.L2-3.1.1, IA.L2-3.5.3"
F-11,A-6 (Gitea),S-1 (Gitea PostgreSQL),PostgreSQL,5432,Password + Certificate,TLS 1.3,CUI,Store repository metadata and code refs,No (App → Data),"3.13.8, 3.13.16","SC.L2-3.13.8, SC.L2-3.13.16"
F-12,A-8 (SonarQube),S-2 (SonarQube PostgreSQL),PostgreSQL,5432,Password + Certificate,TLS 1.3,CUI,Store SAST analysis results,No (App → Data),"3.13.8, 3.13.16","SC.L2-3.13.8, SC.L2-3.13.16"
F-13,A-7 (n8n),S-3 (n8n PostgreSQL),PostgreSQL,5432,Password + Certificate,TLS 1.3,SPA,Store workflow state and execution logs,No (App → Data),"3.13.8, 3.13.16","SC.L2-3.13.8, SC.L2-3.13.16"
F-14,A-9 (Prometheus),S-4 (Prometheus TSDB),Local Write,N/A,Process Isolation,Unix Socket,SPA,Write time-series metrics,No (App → Data),3.13.16,SC.L2-3.13.16
